batch_size,cudnn_autotune,sparsity,w_dim,channel_base,channel_max,param_count,param_size,intermediate_count,intermediate_size,time_per_batch,memory_used
16,true,0,512,32768,512,30209906,98.68,742309632,1479.81,0.298,9370
16,true,0.1,460,29491,460,24446070,79.82,667344768,1330.34,0.259,8357
16,true,0.2,409,26214,409,19383083,63.26,592641888,1181.50,0.225,7126
16,true,0.3,358,22937,358,14919990,48.65,518725440,1034.16,0.187,6267
16,true,0.4,307,19660,307,11038958,35.95,444022560,885.31,0.155,5317
16,true,0.5,256,16384,256,7758258,25.21,373251840,743.97,0.120,10437
16,true,0.6,204,13107,204,5014582,16.22,298286976,594.50,0.094,7028
16,true,0.7,153,9830,153,2917355,9.35,223584096,445.66,0.068,4335
16,true,0.8,102,6553,102,1414070,4.42,149667648,298.31,0.046,2563
16,true,0.9,51,3276,51,498798,1.41,74964768,149.47,0.027,1415
16,false,0,512,32768,512,30209906,98.68,742309632,1479.81,0.304,8064
16,false,0.1,460,29491,460,24446070,79.82,667344768,1330.34,0.266,7110
16,false,0.2,409,26214,409,19383083,63.26,592641888,1181.50,0.229,6144
16,false,0.3,358,22937,358,14919990,48.65,518725440,1034.16,0.188,5292
16,false,0.4,307,19660,307,11038958,35.95,444022560,885.31,0.156,4482
16,false,0.5,256,16384,256,7758258,25.21,373251840,743.97,0.123,3732
16,false,0.6,204,13107,204,5014582,16.22,298286976,594.50,0.096,3060
16,false,0.7,153,9830,153,2917355,9.35,223584096,445.66,0.071,2392
16,false,0.8,102,6553,102,1414070,4.42,149667648,298.31,0.047,1773
16,false,0.9,51,3276,51,498798,1.41,74964768,149.47,0.028,1233
